# batch      rmse_tst    rmse_trn    rmse_e_tst  rmse_e_trn    rmse_f_tst  rmse_f_trn         lr
      0      2.68e+01    2.64e+01      1.39e+00    1.39e+00      8.42e-01    8.31e-01    1.0e-03
    100      2.23e+01    2.03e+01      2.70e-02    2.65e-02      7.04e-01    6.42e-01    1.0e-03
    200      1.39e+01    1.41e+01      5.46e-01    5.53e-01      4.38e-01    4.44e-01    1.0e-03
    300      1.26e+01    1.21e+01      1.07e-01    1.05e-01      4.00e-01    3.83e-01    1.0e-03
    400      9.02e+00    8.96e+00      5.41e-02    5.58e-02      2.85e-01    2.83e-01    1.0e-03
    500      7.52e+00    6.93e+00      1.61e-01    1.63e-01      2.37e-01    2.19e-01    1.0e-03
    600      7.05e+00    7.44e+00      3.22e-02    3.53e-02      2.23e-01    2.35e-01    1.0e-03
    700      7.82e+00    7.38e+00      8.82e-02    8.79e-02      2.47e-01    2.33e-01    1.0e-03
    800      6.68e+00    6.86e+00      4.40e-03    3.85e-03      2.11e-01    2.17e-01    1.0e-03
    900      6.52e+00    6.77e+00      8.28e-02    8.08e-02      2.06e-01    2.14e-01    1.0e-03
   1000      6.89e+00    6.74e+00      4.08e-02    3.84e-02      2.18e-01    2.13e-01    1.0e-03
   1100      7.66e+00    7.20e+00      2.64e-02    2.28e-02      2.42e-01    2.28e-01    1.0e-03
   1200      6.11e+00    6.25e+00      3.69e-02    3.66e-02      1.93e-01    1.98e-01    1.0e-03
   1300      5.84e+00    5.78e+00      3.58e-02    3.56e-02      1.85e-01    1.83e-01    1.0e-03
   1400      5.90e+00    5.64e+00      1.31e-02    1.19e-02      1.87e-01    1.78e-01    1.0e-03
   1500      5.52e+00    5.66e+00      3.31e-02    3.06e-02      1.75e-01    1.79e-01    1.0e-03
   1600      5.51e+00    5.09e+00      2.10e-02    1.91e-02      1.74e-01    1.61e-01    1.0e-03
   1700      6.13e+00    6.06e+00      2.16e-03    1.96e-03      1.94e-01    1.92e-01    1.0e-03
