# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      1.67e+01    1.67e+01      1.44e+00    1.44e+00      5.27e-01    5.27e-01    1.0e-03
      1      1.01e+01    1.01e+01      1.44e+00    1.44e+00      5.11e-01    5.11e-01    3.6e-04
      2      6.63e+00    6.63e+00      1.44e+00    1.44e+00      5.06e-01    5.06e-01    1.3e-04
      3      4.89e+00    4.89e+00      1.44e+00    1.44e+00      5.04e-01    5.04e-01    4.6e-05
      4      4.09e+00    4.09e+00      1.44e+00    1.44e+00      5.04e-01    5.04e-01    1.7e-05
      5      3.76e+00    3.76e+00      1.44e+00    1.44e+00      5.04e-01    5.04e-01    5.9e-06
      6      3.64e+00    3.64e+00      1.44e+00    1.44e+00      5.04e-01    5.04e-01    2.1e-06
      7      3.59e+00    3.59e+00      1.44e+00    1.44e+00      5.04e-01    5.04e-01    7.6e-07
      8      3.57e+00    3.57e+00      1.44e+00    1.44e+00      5.04e-01    5.04e-01    2.7e-07
      9      3.57e+00    3.57e+00      1.44e+00    1.44e+00      5.04e-01    5.04e-01    9.8e-08
     10      3.57e+00    3.57e+00      1.44e+00    1.44e+00      5.04e-01    5.04e-01    3.5e-08
